logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,"Player, shoot","shoot, Player","Player, shoot, Player","Player, get",LevelTime,,
2022-02-17-11-13-34.log,46,160,10,28,9,5,4,0,43,17,2,3,86,0.26875,0.333333333
2022-02-17-11-20-18.log,60,163,9,43,16,7,9,0,40,15,0,8,79,0.245398773,0.5
2022-02-17-11-11-54.log,37,99,4,25,2,1,1,0,20,14,1,1,61,0.202020202,0.5
2022-02-17-10-39-14.log,36,107,7,22,5,2,3,0,28,12,0,3,54,0.261682243,0.6
2022-02-17-10-41-13.log,31,125,6,18,6,3,3,0,24,13,0,2,53,0.192,0.333333333
2022-02-17-11-08-10.log,29,89,6,16,5,1,4,0,19,12,0,2,52,0.213483146,0.4
2022-02-17-11-09-14.log,33,104,4,21,4,2,2,0,28,13,1,0,48,0.269230769,0
2022-02-17-11-10-05.log,36,77,4,25,3,2,1,0,8,13,0,1,48,0.103896104,0.333333333
2022-02-17-11-04-30.log,33,92,5,20,4,2,2,0,17,13,0,3,46,0.184782609,0.75
2022-02-17-11-10-56.log,26,61,2,16,2,0,2,0,9,12,0,0,46,0.147540984,0
2022-02-17-11-21-45.log,32,99,6,19,4,3,1,0,34,13,0,1,43,0.343434343,0.25
2022-02-17-11-07-32.log,22,76,4,10,2,1,1,0,12,12,1,1,35,0.157894737,0.5
2022-02-17-02-44-24.log,23,79,3,12,2,1,1,0,19,12,0,1,34,0.240506329,0.5
2022-02-17-10-37-53.log,17,74,3,6,1,1,0,0,8,10,0,1,34,0.108108108,1
2022-02-17-11-06-39.log,25,58,3,15,1,1,0,0,11,11,0,1,34,0.189655172,1
2022-02-17-11-03-55.log,24,74,3,13,2,1,1,0,14,11,0,1,33,0.189189189,0.5
2022-02-17-10-40-41.log,21,65,5,10,3,0,3,0,26,11,0,2,30,0.4,0
2022-02-17-11-05-42.log,21,55,2,11,1,0,1,0,11,10,0,0,29,0.2,0
2022-02-17-11-18-14.log,25,53,3,14,2,1,1,0,16,12,0,2,29,0.301886792,1
2022-02-17-11-13-03.log,21,38,1,12,0,0,0,0,9,10,0,0,27,0.236842105,0
2022-02-17-10-40-11.log,18,39,2,9,1,0,1,0,11,10,0,0,25,0.282051282,0
2022-02-17-11-06-12.log,19,54,2,9,1,1,0,0,12,10,1,0,25,0.222222222,0
2022-02-17-11-19-01.log,20,61,3,10,0,0,0,0,16,10,0,0,25,0.262295082,0
2022-02-17-02-43-57.log,18,52,3,7,2,1,1,0,18,10,0,1,24,0.346153846,0.5
2022-02-17-11-05-18.log,20,55,4,9,1,1,0,0,16,11,0,0,22,0.290909091,0
2022-02-17-11-19-54.log,15,60,3,4,2,1,1,0,13,11,0,2,22,0.216666667,1
2022-02-17-10-35-09.log,12,30,1,3,0,0,0,0,9,10,2,0,20,0.3,0
2022-02-17-11-19-28.log,13,42,2,4,0,0,0,0,12,10,1,0,19,0.285714286,0
2022-02-17-11-07-15.log,13,39,3,4,0,0,0,0,16,10,0,0,16,0.41025641,0
2022-02-17-11-18-44.log,12,44,2,3,0,0,0,0,6,10,1,0,16,0.136363636,0
2022-02-17-10-42-32.log,12,35,2,3,0,0,0,0,11,10,0,0,11,0.314285714,0
2022-02-17-11-09-03.log,10,25,1,1,0,0,0,0,8,10,0,0,8,0.32,0
