logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,"Player, shoot","shoot, Player","Player, shoot, Player","Player, get",LevelTime,,
2022-02-17-11-34-41.log,34,88,4,22,4,2,2,0,15,13,2,3,49,0.170454545,0.75
2022-02-17-02-40-17.log,32,154,8,16,5,1,4,0,17,14,1,4,48,0.11038961,0.8
2022-02-17-11-32-40.log,33,99,5,20,3,1,2,0,23,13,2,2,44,0.232323232,0.666666667
2022-02-17-02-39-33.log,30,107,4,18,2,1,1,0,22,13,3,0,43,0.205607477,0
2022-02-17-11-26-09.log,30,99,3,19,1,0,1,0,17,12,4,0,43,0.171717172,0
2022-02-17-11-31-26.log,26,92,3,15,1,0,1,0,15,12,1,1,37,0.163043478,1
2022-02-17-02-42-49.log,32,110,7,17,4,3,1,0,16,12,2,4,36,0.145454545,1
2022-02-17-11-28-03.log,28,89,4,16,3,2,1,0,14,12,0,1,34,0.157303371,0.333333333
2022-02-17-02-41-34.log,22,85,3,11,2,0,2,0,20,11,2,2,33,0.235294118,1
2022-02-17-11-25-02.log,26,70,3,15,2,2,0,0,19,11,1,1,33,0.271428571,0.5
2022-02-17-11-23-46.log,23,91,3,12,3,1,2,0,22,11,3,0,31,0.241758242,0
2022-02-17-11-25-36.log,24,83,5,11,3,2,1,0,17,11,5,2,30,0.204819277,0.666666667
2022-02-17-11-29-48.log,18,66,3,8,2,2,0,0,18,10,1,1,28,0.272727273,0.5
2022-02-17-02-39-04.log,23,59,3,12,1,1,0,0,11,11,2,0,27,0.186440678,0
2022-02-17-11-30-34.log,21,58,2,11,1,0,1,0,5,10,0,0,27,0.086206897,0
2022-02-17-11-36-23.log,21,63,2,11,1,0,1,0,14,11,3,0,26,0.222222222,0
2022-02-17-11-29-03.log,21,56,3,10,2,1,1,0,13,10,2,0,25,0.232142857,0
2022-02-17-11-36-50.log,20,56,2,10,0,0,0,0,14,10,2,0,25,0.25,
2022-02-17-11-24-36.log,21,60,3,10,2,1,1,0,11,11,0,0,24,0.183333333,0
2022-02-17-11-27-09.log,16,62,1,7,0,0,0,0,7,10,2,0,24,0.112903226,
2022-02-17-11-35-58.log,23,53,2,13,1,0,1,0,16,11,0,1,24,0.301886792,1
2022-02-17-02-42-26.log,17,67,3,6,2,1,1,0,15,10,2,2,21,0.223880597,1
2022-02-17-11-23-24.log,16,47,1,7,0,0,0,0,12,10,2,0,20,0.255319149,
2022-02-17-11-32-21.log,15,48,2,5,1,1,0,0,8,10,0,1,18,0.166666667,1
2022-02-17-11-29-30.log,12,41,1,3,0,0,0,0,7,11,3,0,17,0.170731707,
2022-02-17-02-42-08.log,16,63,3,6,2,2,0,0,12,10,6,1,16,0.19047619,0.5
2022-02-17-11-22-56.log,14,51,2,4,2,1,1,0,11,10,2,0,14,0.215686275,0
2022-02-17-11-24-18.log,13,42,2,4,0,0,0,0,12,10,0,0,14,0.285714286,
2022-02-17-11-26-54.log,14,40,1,5,0,0,0,0,4,10,3,0,14,0.1,
2022-02-17-11-32-05.log,15,43,2,5,1,1,0,0,9,10,2,0,14,0.209302326,0
2022-02-17-11-23-12.log,13,36,2,3,1,0,1,0,8,10,0,0,11,0.222222222,0
2022-02-17-02-41-22.log,12,26,1,3,0,0,0,0,5,10,1,0,9,0.192307692,
