logname,AI,shoot,True,deleted,get,"get, horse","get, shield","get, coin_v_1","Name, get, horse","Name, get, shield","Name, get, coin_v_1","gen, horse","gen, shield",Remake,"Name, shoot","shoot, Name","Name, shoot, Name","Name, get",LevelTime
2022-03-08-13-38-08.log,10,49,2,0,14,0,1,12,0,0,0,0,1,0,0,0,0,0,12
2022-03-08-13-38-21.log,9,28,1,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,9
2022-03-08-13-38-31.log,12,62,4,0,15,0,0,14,0,0,0,3,0,0,0,0,0,0,16
2022-03-08-13-38-47.log,10,45,2,0,12,0,1,10,0,0,0,0,1,0,0,0,0,0,12
2022-03-08-13-39-01.log,13,98,5,0,29,2,2,24,0,0,0,2,2,0,0,0,0,0,31
2022-03-08-13-39-32.log,9,52,1,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,16
2022-03-08-13-39-49.log,9,35,1,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,9
2022-03-08-13-39-59.log,10,69,2,0,11,0,1,9,0,0,0,0,1,0,0,0,0,0,21
2022-03-08-13-40-20.log,9,39,1,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,8
2022-03-08-13-40-30.log,10,59,2,0,17,0,1,15,0,0,0,0,1,0,0,0,0,0,17
2022-03-08-13-40-48.log,9,27,1,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,8
2022-03-08-13-40-57.log,10,63,2,0,16,0,0,15,0,0,0,1,0,0,0,0,0,0,16
2022-03-08-13-41-13.log,12,89,4,0,18,2,1,14,0,0,0,2,1,0,0,0,0,0,19
2022-03-08-13-41-34.log,11,70,3,0,13,0,2,10,0,0,0,0,2,0,0,0,0,0,15
2022-03-08-13-41-50.log,11,55,3,0,12,0,1,10,0,0,0,0,2,0,0,0,0,0,12
2022-03-08-13-42-03.log,11,81,3,0,17,2,0,14,0,0,0,2,0,0,0,0,0,0,22
2022-03-08-13-42-26.log,9,37,1,0,15,0,0,14,0,0,0,0,0,0,0,0,0,0,12
2022-03-08-13-42-39.log,9,49,1,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,9
2022-03-08-13-42-49.log,11,74,3,0,16,1,0,14,0,0,0,1,1,0,0,0,0,0,18
