logname,initAI,shoot,TRUE,delete,get,Horse,Shield,Remake,LevelTime,,
2022-02-16-04-08-34.log,417,623,11,398,3,1,2,0,584,1.066780822,0.018835616
2022-02-16-03-55-59.log,299,388,3,288,2,1,1,0,419,0.92601432,0.007159905
2022-02-16-03-51-38.log,119,317,7,104,1,0,1,0,257,1.233463035,0.027237354
2022-02-16-04-03-12.log,90,228,5,77,0,0,0,0,169,1.349112426,0.029585799
2022-02-16-03-36-53.log,82,172,3,71,0,0,0,0,164,1.048780488,0.018292683
2022-02-16-03-47-06.log,86,235,4,75,1,1,0,0,162,1.450617284,0.024691358
2022-02-16-03-32-48.log,84,179,4,72,2,0,2,0,148,1.209459459,0.027027027
2022-02-16-03-42-23.log,84,217,5,72,2,2,0,0,144,1.506944444,0.034722222
2022-02-16-03-35-22.log,45,111,2,35,0,0,0,0,88,1.261363636,0.022727273
2022-02-16-03-50-14.log,55,115,5,42,3,2,1,0,81,1.419753086,0.061728395
2022-02-16-04-07-16.log,53,106,2,43,0,0,0,0,77,1.376623377,0.025974026
2022-02-16-03-44-49.log,27,83,2,17,0,0,0,0,56,1.482142857,0.035714286
2022-02-16-03-49-50.log,13,33,1,4,0,0,0,0,21,1.571428571,0.047619048
