logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,LevelTime,,,
2022-02-17-11-13-34.log,46,160,10,28,9,5,4,0,86,1.860465116,0.11627907,0.104651163
2022-02-17-11-20-18.log,60,163,9,43,16,7,9,0,79,2.063291139,0.113924051,0.202531646
2022-02-17-11-11-54.log,37,99,4,25,2,1,1,0,61,1.62295082,0.06557377,0.032786885
2022-02-17-10-39-14.log,36,107,7,22,5,2,3,0,54,1.981481481,0.12962963,0.092592593
2022-02-17-10-41-13.log,31,125,6,18,6,3,3,0,53,2.358490566,0.113207547,0.113207547
2022-02-17-11-08-10.log,29,89,6,16,5,1,4,0,52,1.711538462,0.115384615,0.096153846
2022-02-17-11-09-14.log,33,104,4,21,4,2,2,0,48,2.166666667,0.083333333,0.083333333
2022-02-17-11-10-05.log,36,77,4,25,3,2,1,0,48,1.604166667,0.083333333,0.0625
2022-02-17-11-04-30.log,33,92,5,20,4,2,2,0,46,2,0.108695652,0.086956522
2022-02-17-11-10-56.log,26,61,2,16,2,0,2,0,46,1.326086957,0.043478261,0.043478261
2022-02-17-11-21-45.log,32,99,6,19,4,3,1,0,43,2.302325581,0.139534884,0.093023256
2022-02-17-11-07-32.log,22,76,4,10,2,1,1,0,35,2.171428571,0.114285714,0.057142857
2022-02-17-02-44-24.log,23,79,3,12,2,1,1,0,34,2.323529412,0.088235294,0.058823529
2022-02-17-10-37-53.log,17,74,3,6,1,1,0,0,34,2.176470588,0.088235294,0.029411765
2022-02-17-11-06-39.log,25,58,3,15,1,1,0,0,34,1.705882353,0.088235294,0.029411765
2022-02-17-11-03-55.log,24,74,3,13,2,1,1,0,33,2.242424242,0.090909091,0.060606061
2022-02-17-10-40-41.log,21,65,5,10,3,0,3,0,30,2.166666667,0.166666667,0.1
2022-02-17-11-05-42.log,21,55,2,11,1,0,1,0,29,1.896551724,0.068965517,0.034482759
2022-02-17-11-18-14.log,25,53,3,14,2,1,1,0,29,1.827586207,0.103448276,0.068965517
2022-02-17-11-13-03.log,21,38,1,12,0,0,0,0,27,1.407407407,0.037037037,0
2022-02-17-10-40-11.log,18,39,2,9,1,0,1,0,25,1.56,0.08,0.04
2022-02-17-11-06-12.log,19,54,2,9,1,1,0,0,25,2.16,0.08,0.04
2022-02-17-11-19-01.log,20,61,3,10,0,0,0,0,25,2.44,0.12,0
2022-02-17-02-43-57.log,18,52,3,7,2,1,1,0,24,2.166666667,0.125,0.083333333
2022-02-17-11-05-18.log,20,55,4,9,1,1,0,0,22,2.5,0.181818182,0.045454545
2022-02-17-11-19-54.log,15,60,3,4,2,1,1,0,22,2.727272727,0.136363636,0.090909091
2022-02-17-10-35-09.log,12,30,1,3,0,0,0,0,20,1.5,0.05,0
2022-02-17-11-19-28.log,13,42,2,4,0,0,0,0,19,2.210526316,0.105263158,0
2022-02-17-11-07-15.log,13,39,3,4,0,0,0,0,16,2.4375,0.1875,0
2022-02-17-11-18-44.log,12,44,2,3,0,0,0,0,16,2.75,0.125,0
2022-02-17-10-42-32.log,12,35,2,3,0,0,0,0,11,3.181818182,0.181818182,0
2022-02-17-11-09-03.log,10,25,1,1,0,0,0,0,8,3.125,0.125,0
