logname,PlayerShoot,ShootPlayer,PSP,PlayGet,LevelTime
2022-02-17-11-34-41.log,15,13,2,3,49
2022-02-17-02-40-17.log,17,14,1,4,48
2022-02-17-11-32-40.log,23,13,2,2,44
2022-02-17-02-39-33.log,22,13,3,0,43
2022-02-17-11-26-09.log,17,12,4,0,43
2022-02-17-11-31-26.log,15,12,1,1,37
2022-02-17-02-42-49.log,16,12,2,4,36
2022-02-17-11-28-03.log,14,12,0,1,34
2022-02-17-02-41-34.log,20,11,2,2,33
2022-02-17-11-25-02.log,19,11,1,1,33
2022-02-17-11-23-46.log,22,11,3,0,31
2022-02-17-11-25-36.log,17,11,5,2,30
2022-02-17-11-29-48.log,18,10,1,1,28
2022-02-17-02-39-04.log,11,11,2,0,27
2022-02-17-11-30-34.log,5,10,0,0,27
2022-02-17-11-36-23.log,14,11,3,0,26
2022-02-17-11-29-03.log,13,10,2,0,25
2022-02-17-11-36-50.log,14,10,2,0,25
2022-02-17-11-24-36.log,11,11,0,0,24
2022-02-17-11-27-09.log,7,10,2,0,24
2022-02-17-11-35-58.log,16,11,0,1,24
2022-02-17-02-42-26.log,15,10,2,2,21
2022-02-17-11-23-24.log,12,10,2,0,20
2022-02-17-11-32-21.log,8,10,0,1,18
2022-02-17-11-29-30.log,7,11,3,0,17
2022-02-17-02-42-08.log,12,10,6,1,16
2022-02-17-11-22-56.log,11,10,2,0,14
2022-02-17-11-24-18.log,12,10,0,0,14
2022-02-17-11-26-54.log,4,10,3,0,14
2022-02-17-11-32-05.log,9,10,2,0,14
2022-02-17-11-23-12.log,8,10,0,0,11
2022-02-17-02-41-22.log,5,10,1,0,9
