logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,LevelTime,,,
2022-02-17-11-34-41.log,34,88,4,22,4,2,2,0,49,1.795918367,0.081632653,0.081632653
2022-02-17-02-40-17.log,32,154,8,16,5,1,4,0,48,3.208333333,0.166666667,0.104166667
2022-02-17-11-32-40.log,33,99,5,20,3,1,2,0,44,2.25,0.113636364,0.068181818
2022-02-17-02-39-33.log,30,107,4,18,2,1,1,0,43,2.488372093,0.093023256,0.046511628
2022-02-17-11-26-09.log,30,99,3,19,1,0,1,0,43,2.302325581,0.069767442,0.023255814
2022-02-17-11-31-26.log,26,92,3,15,1,0,1,0,37,2.486486486,0.081081081,0.027027027
2022-02-17-02-42-49.log,32,110,7,17,4,3,1,0,36,3.055555556,0.194444444,0.111111111
2022-02-17-11-28-03.log,28,89,4,16,3,2,1,0,34,2.617647059,0.117647059,0.088235294
2022-02-17-02-41-34.log,22,85,3,11,2,0,2,0,33,2.575757576,0.090909091,0.060606061
2022-02-17-11-25-02.log,26,70,3,15,2,2,0,0,33,2.121212121,0.090909091,0.060606061
2022-02-17-11-23-46.log,23,91,3,12,3,1,2,0,31,2.935483871,0.096774194,0.096774194
2022-02-17-11-25-36.log,24,83,5,11,3,2,1,0,30,2.766666667,0.166666667,0.1
2022-02-17-11-29-48.log,18,66,3,8,2,2,0,0,28,2.357142857,0.107142857,0.071428571
2022-02-17-02-39-04.log,23,59,3,12,1,1,0,0,27,2.185185185,0.111111111,0.037037037
2022-02-17-11-30-34.log,21,58,2,11,1,0,1,0,27,2.148148148,0.074074074,0.037037037
2022-02-17-11-36-23.log,21,63,2,11,1,0,1,0,26,2.423076923,0.076923077,0.038461538
2022-02-17-11-29-03.log,21,56,3,10,2,1,1,0,25,2.24,0.12,0.08
2022-02-17-11-36-50.log,20,56,2,10,0,0,0,0,25,2.24,0.08,0
2022-02-17-11-24-36.log,21,60,3,10,2,1,1,0,24,2.5,0.125,0.083333333
2022-02-17-11-27-09.log,16,62,1,7,0,0,0,0,24,2.583333333,0.041666667,0
2022-02-17-11-35-58.log,23,53,2,13,1,0,1,0,24,2.208333333,0.083333333,0.041666667
2022-02-17-02-42-26.log,17,67,3,6,2,1,1,0,21,3.19047619,0.142857143,0.095238095
2022-02-17-11-23-24.log,16,47,1,7,0,0,0,0,20,2.35,0.05,0
2022-02-17-11-32-21.log,15,48,2,5,1,1,0,0,18,2.666666667,0.111111111,0.055555556
2022-02-17-11-29-30.log,12,41,1,3,0,0,0,0,17,2.411764706,0.058823529,0
2022-02-17-02-42-08.log,16,63,3,6,2,2,0,0,16,3.9375,0.1875,0.125
2022-02-17-11-22-56.log,14,51,2,4,2,1,1,0,14,3.642857143,0.142857143,0.142857143
2022-02-17-11-24-18.log,13,42,2,4,0,0,0,0,14,3,0.142857143,0
2022-02-17-11-26-54.log,14,40,1,5,0,0,0,0,14,2.857142857,0.071428571,0
2022-02-17-11-32-05.log,15,43,2,5,1,1,0,0,14,3.071428571,0.142857143,0.071428571
2022-02-17-11-23-12.log,13,36,2,3,1,0,1,0,11,3.272727273,0.181818182,0.090909091
2022-02-17-02-41-22.log,12,26,1,3,0,0,0,0,9,2.888888889,0.111111111,0
