logname,PlayerShoot,ShootPlayer,PSP,PlayGet,LevelTime
2022-02-17-11-13-34.log,43,17,2,3,86
2022-02-17-11-20-18.log,40,15,0,8,79
2022-02-17-11-11-54.log,20,14,1,1,61
2022-02-17-10-39-14.log,28,12,0,3,54
2022-02-17-10-41-13.log,24,13,0,2,53
2022-02-17-11-08-10.log,19,12,0,2,52
2022-02-17-11-09-14.log,28,13,1,0,48
2022-02-17-11-10-05.log,8,13,0,1,48
2022-02-17-11-04-30.log,17,13,0,3,46
2022-02-17-11-10-56.log,9,12,0,0,46
2022-02-17-11-21-45.log,34,13,0,1,43
2022-02-17-11-07-32.log,12,12,1,1,35
2022-02-17-02-44-24.log,19,12,0,1,34
2022-02-17-10-37-53.log,8,10,0,1,34
2022-02-17-11-06-39.log,11,11,0,1,34
2022-02-17-11-03-55.log,14,11,0,1,33
2022-02-17-10-40-41.log,26,11,0,2,30
2022-02-17-11-05-42.log,11,10,0,0,29
2022-02-17-11-18-14.log,16,12,0,2,29
2022-02-17-11-13-03.log,9,10,0,0,27
2022-02-17-10-40-11.log,11,10,0,0,25
2022-02-17-11-06-12.log,12,10,1,0,25
2022-02-17-11-19-01.log,16,10,0,0,25
2022-02-17-02-43-57.log,18,10,0,1,24
2022-02-17-11-05-18.log,16,11,0,0,22
2022-02-17-11-19-54.log,13,11,0,2,22
2022-02-17-10-35-09.log,9,10,2,0,20
2022-02-17-11-19-28.log,12,10,1,0,19
2022-02-17-11-07-15.log,16,10,0,0,16
2022-02-17-11-18-44.log,6,10,1,0,16
2022-02-17-10-42-32.log,11,10,0,0,11
2022-02-17-11-09-03.log,8,10,0,0,8
